president,approval,timestamp
Trump,44.76669,12 Mar 2017
Trump,40.67268333333333,12 Mar 2018
Trump,41.73809,12 Mar 2019
Trump,42.337865,12 Mar 2020
Biden,53.154843,12 Mar 2021
Trump,41.12946,12 May 2017
Trump,42.12308,12 May 2018
Trump,43.687038,12 May 2020
Biden,52.792521,12 May 2021
Trump,37.98497,12 Nov 2017
Trump,42.04332666666667,12 Nov 2018
Trump,41.10089,12 Nov 2019
Trump,44.603715,12 Nov 2020
Biden,42.810891,12 Nov 2021
Trump,37.85408,12 Oct 2017
Trump,41.77359,12 Oct 2018
Trump,42.09176,12 Oct 2019
Trump,43.66957,12 Oct 2020
Biden,44.527251,12 Oct 2021
Trump,38.1081,12 Sep 2017
Trump,39.87929,12 Sep 2018
Trump,41.65084,12 Sep 2019
Trump,42.491375,12 Sep 2020
Trump,41.44421,13 Apr 2017
Trump,40.77415,13 Apr 2018
Trump,44.233124,13 Apr 2020
Biden,53.571123,13 Apr 2021
Trump,37.57039,13 Aug 2017
Trump,41.88124333333334,13 Aug 2018
Trump,41.83497,13 Aug 2019
Trump,41.659756,13 Aug 2020
Biden,49.966687,13 Aug 2021
Trump,36.66145,13 Dec 2017
Trump,42.47837,13 Dec 2018
Trump,41.869479,13 Dec 2019
Biden,43.041503666666664,13 Dec 2021
Trump,40.98163,13 Feb 2018
Trump,41.47137,13 Feb 2019
Trump,43.341663,13 Feb 2020
Trump,40.50577,13 Jan 2019
Trump,41.957434,13 Jan 2020
Trump,40.01021,13 Jan 2021
Biden,42.391193,13 Jan 2022
Trump,39.25278,13 Jul 2017
Trump,42.06443,13 Jul 2018
Trump,42.39304,13 Jul 2019
Trump,40.44294,13 Jul 2020
Biden,51.556072,13 Jul 2021
Trump,38.25534,13 Jun 2017
Trump,41.43065,13 Jun 2018
Trump,42.27949,13 Jun 2019
Trump,44.53927,13 Mar 2017
Trump,40.52831,13 Mar 2018
Trump,41.71772,13 Mar 2019
Trump,42.287014,13 Mar 2020
Trump,41.08303,13 May 2017
